Cheech and Chong's Next Movie,Cheech and Chong,,Comedy; Music
Cheyenne Social Club,Shirley Jones; Jimmy Stewart,,Western; Hookers
Chicago,Richard Gere; Catherine Zeta Jones; Renee Zellweger; Lucy Liu,,Musical; Death Row
Children of the Damned,,,Horror
China Moon,Ed Harris; Madeline Stowe; Beneicio Del Toro,,Mystery
China Syndrome,Jack Lemmon; Jane Fonda,,Drama; Nuclear Power Plant
Chinatown,Jack Nicholson; Faye Dunaway; Roman Polanski; Burt Young; John Huston,Roman Polanski,Crime Drama; Detective JJ Geddes
Chisolm,John Wayne,,Western
Chocolat,Juliette Penoche; Carrie Anne Moss; Judi Dench; Johnny Depp,,Drama; religion conflicts/chocolate shop
Choirboys,,,Comedy; Police
Choose Me,,,Drama; Dating
Chorus Line,Michael Douglas,,Musical
CIA Exiled,William Petersen; George C. Scott,,Drama; CIA and South African Terrorists
Cinderfella,Jerry Lewis,,Comedy
Citizens Kane,Orson Wells,,Drama
City Hall,Al Pacino; Danny Aiello; John Cusack; Bridget Fonda; Martin Landau,,Drama; Politics and the Mafia
City of Angels,Meg Ryan; Nichola Cage,,Romantic Drama; Angels
City of Industry,Steven Dorff; Harvey Keitel; Timothy Hutton; Lucy Liu,,Jewel Thieves/Doublecrossing
City Slickers,Billy Crystal,,Comedy; Western
Civil Action,John Travolta; William H. Macy; Robert Duvall; John Lithgow,,Civil Lawsuit - true story
Class,Andrew McCarthy; Rob Lowe; Jacqueline Bissett; Cliff Robertson; John Cusack; Joan Cusack,,Romantic Comedy
Class Action,Gene Hackman; Mary Elizabeth MastroAntonio,,Drama; Law
Class Reunion,,,Comedy;National Lampoon
Client,Tommy Lee Jones; Susan Sarandon,John Grisholm,Legal Drama; Law
Clockers,Harvey Keitel,,Drug Dealers
Clockwork Orange,,Stanley Kubrick,Science Fiction
Close Encounters of the Third Kind,Richard Dreyfuss; Teri Garr,Steven Spielberg,Science Fiction
Closer,Jude Law; Julia Roberts; Natalie Portman; Clive Owens,Mike Nichols,Romantic Drama
Clue,Tim Curry; Martin Mull; Lesley Ann Romanoff; Madelaine Kahn,,Mystery based on board game
Cobb,Tommy Lee Jones,,Drama; Baseball
Cocktail,Tom Cruise,,Drama; Carribean
Cocoanuts,Marx Brothers; Margaret Dumont,,Comedy
Cocoon,Brain Dennehy; Hugh Cronin; Steven Guttenberg; Tanya Welch,Ron Howard,Science Fiction
Code,Morgan Freeman; Antonio Banderas; Robert Forster; Radha Mitchell,Mimi Leder,Jewel Thieves - Russian Mafia
Code 46,Tim Robbins; Samantha Morton,,Science Fiction
Cold Mountain,Jude Law; Nicole Kidman; Renee Zellweger; Donald Sutherland,,Civil War
Cold Turkey,,,Drama; Quit Smoking
Collateral,Tom Cruise; Jamie Foxx,Michael Mann,Drama; Hit Man
Collateral Damage,Arnold Shwarzeneggar,,Action; Columbia terrorists
Color Purple,Whoopi Goldberg; Oprah Winfrey; Danny Glover; Laurence Fishburne,Steven Spielberg,Drama; racism
Columbiana,,,Action; Columbia drug dealers and hitmen
Coming to America,Eddie Murphy; Arsenio Hall; James Earl Jones,,Comedy
Commancheros,John Wayne; Lee Marvin; Stuart Whitman; Ina Balin,,Western
Company Wood,Ben Affleck; Maria Bello; Tommy Lee Jones; Chris Cooper; Craig T. Nelson; Kevin Costner,,Drama; Company downsizing
Compromising Positions,Susan Sarandon,,Comedy; Dentist
Computer Wore Tennis Shoes,Kurt Russell,,Comedy; Disney
Concussion,Will Smith; Alec Baldwin,,Drama; True Story football player brain injury CTE
Confessions of a Call Girl,,Lawrence Page,Drama; Call Girl
Confessions of a Dangerous Mind,Sam Rockwell; George Clooney; Drew Barrymore; Julia Roberts; Bob Eubanks; Chuck Barris,George Clooney,Drama; Chuck Barris Story
Confessions of a go go girl,Corbin Bernsen,,Drama; Catholic stripper
Conspiracy Theory,Mel Gibson; Julia Roberts; Patrick Stewart,,Drama; Govt Assasins
Constant Gardener,Ralph Fiennes,,Political Pharmaceutical African Thriller
Contact,Jodie Foster; Matthew McConaughey; James Woods; Angela Bassett; Tom Skerritt; John Hurt,Robert Zemeckis; Carl Sagan,Science Fiction
Contagion,Gwyneth Paltrow; Matt Damon; Kate Winslet; Jude Law; Laurence Fishburne; Elliot Gould,Steven Soderbergh,Drama. Killer virus
Conversation,Gene Hackman,Francis Ford Coppola,Drama; Wiretapping
Copland,Ray Liotta; Harvey Keitel; Sylvester Stallone; Robert De Niro,,Police & Mafia Drama
Copy Cat,,,Murder Mystery
Corrupted Minds,Aida Munoz; Mark Brock; Hugh Gall; Derek Denham; Dale Murphy; Cordell Gibbs; Vince Orlando; Eva Wilson,Brian Lawrence,Drama; Crime/Poverty in Detroit
CoupDeVille,,,Comedy; Fighting Brothers
Counselor,Brad Pitt; Cameron Diaz; Penelope Cruz,Ridley Scott,Drama; Drug Dealers vs. Drug Dealers
Cover Girl,,,Drama
Cowboys,John Wayne,,Western
Crash,Brendon Fraser; Sandra Bullock; Ryan Phillipe; Matt Dillon; Terrence Howard; Don Cheadle; Jennifer Esposito,,Drama; Police and Racism
